OBJECTID1,OBJECTID,ID,CAL_YEAR,CAL_QTR,Sector,CENSUS_TRACT,GRPD_NUMBER_ACCTS,USAGE_MMBTU,EMISSIONS_MTCO2E,RSE_Quintile,USAGEPERCAPITA_MMBTU,EMISSIONSPERCAPITA_MTCO2E,Ind_Grp_Flag,SHAPE_Length,SHAPE_Area
1,21,17-1-C-001100,2017,Q1,Commercial,53033001100,48,2709.24598428,16.7002925318821,Middle,56.4426246725,0.347922761080877,0,14316.8853745282,11413493.0803313
2,21,17-1-R-001100,2017,Q1,Residential,53033001100,1069,12372.87686676,76.2686977612194,Middle,11.5742533833115,0.0713458351367814,0,14316.8853745282,11413493.0803313
3,21,17-2-C-001100,2017,Q2,Commercial,53033001100,48,1975.17524538,12.1753449450417,Middle,41.14948427875,0.253653019688368,0,14316.8853745282,11413493.0803313
4,21,17-2-R-001100,2017,Q2,Residential,53033001100,1070,8243.96567766,50.8173267538518,Middle,7.70464082024299,0.0474928287419175,0,14316.8853745282,11413493.0803313
5,21,17-3-C-001100,2017,Q3,Commercial,53033001100,49,2014.18965414,12.415836964973,Middle,41.1059113089796,0.253384427856593,0,14316.8853745282,11413493.0803313
6,21,17-3-R-001100,2017,Q3,Residential,53033001100,1083,7895.36098242,48.6684630396391,Middle,7.29026868182825,0.044938562363471,0,14316.8853745282,11413493.0803313
7,21,17-4-C-001100,2017,Q4,Commercial,53033001100,49,2206.89367278,13.6037001202681,Middle,45.0386463832653,0.277626533066695,0,14316.8853745282,11413493.0803313
8,21,17-4-R-001100,2017,Q4,Residential,53033001100,1076,10774.16302758,66.4139304407209,Middle,10.0131626650372,0.0617229836809674,0,14316.8853745282,11413493.0803313
9,21,18-1-C-001100,2018,Q1,Commercial,53033001100,49,2159.80614078,9.2019813734572,Middle,44.077676342449,0.18779553823382,0,14316.8853745282,11413493.0803313
10,21,18-1-R-001100,2018,Q1,Residential,53033001100,1064,12689.29484538,54.0634886644612,Middle,11.9260289900188,0.0508115494966741,0,14316.8853745282,11413493.0803313
11,21,18-2-C-001100,2018,Q2,Commercial,53033001100,48,1664.43165558,7.0914091792092,Middle,34.67565949125,0.147737691233525,0,14316.8853745282,11413493.0803313
12,21,18-2-R-001100,2018,Q2,Residential,53033001100,1064,7947.66567648,33.8614980930752,Middle,7.46961059819549,0.0318247162528902,0,14316.8853745282,11413493.0803313
13,21,18-3-C-001100,2018,Q3,Commercial,53033001100,47,1519.5283062,6.474039917788,Middle,32.330389493617,0.137745530165702,0,14316.8853745282,11413493.0803313
14,21,18-3-R-001100,2018,Q3,Residential,53033001100,1064,6644.3749185,28.30875099569,Middle,6.24471326926692,0.0266059689809117,0,14316.8853745282,11413493.0803313
15,21,18-4-C-001100,2018,Q4,Commercial,53033001100,48,1781.81268372,7.5915179686728,Middle,37.1210975775,0.15815662434735,0,14316.8853745282,11413493.0803313
16,21,18-4-R-001100,2018,Q4,Residential,53033001100,1060,9982.27698852,42.5300795190248,Middle,9.417242442,0.0401227165273819,0,14316.8853745282,11413493.0803313
17,21,19-1-C-001100,2019,Q1,Commercial,53033001100,47,1726.00372188,9.53806541716848,Middle,36.7234834442553,0.202937562067414,0,14316.8853745282,11413493.0803313
18,21,19-1-R-001100,2019,Q1,Residential,53033001100,1055,11663.31211734,64.4526037492386,Middle,11.0552721491374,0.0610925154021219,0,14316.8853745282,11413493.0803313
19,21,19-2-C-001100,2019,Q2,Commercial,53033001100,47,1494.63333276,8.25949001258096,Middle,31.8007092076596,0.175733830054914,0,14316.8853745282,11413493.0803313
20,21,19-2-R-001100,2019,Q2,Residential,53033001100,1055,7512.09235692,41.5125572510763,Middle,7.1204666890237,0.0393483954986505,0,14316.8853745282,11413493.0803313
21,21,19-3-C-001100,2019,Q3,Commercial,53033001100,47,1822.35231906,10.0704971906958,Middle,38.7734535970213,0.214265897674378,0,14316.8853745282,11413493.0803313
22,21,19-3-R-001100,2019,Q3,Residential,53033001100,1055,6674.62695174,36.884641495181,Middle,6.32666061776303,0.0349617454930626,0,14316.8853745282,11413493.0803313
23,21,19-4-C-001100,2019,Q4,Commercial,53033001100,46,1911.98241258,10.5658018557457,Middle,41.564835056087,0.229691344690123,0,14316.8853745282,11413493.0803313
24,21,19-4-R-001100,2019,Q4,Residential,53033001100,1061,10701.20806224,59.135922620839,Middle,10.085964243393,0.055736025090329,0,14316.8853745282,11413493.0803313
25,21,20-1-C-001100,2020,Q1,Commercial,53033001100,46,1686.450195,4.40304929544,Middle,36.6619607608696,0.0957184629443478,0,14316.8853745282,11413493.0803313
26,21,20-1-R-001100,2020,Q1,Residential,53033001100,1066,12063.48107226,31.4958022438179,Middle,11.3165863717261,0.0295457807165271,0,14316.8853745282,11413493.0803313
27,21,20-2-C-001100,2020,Q2,Commercial,53033001100,46,1329.05582712,3.46995027813504,Middle,28.8925179808696,0.0754337016985878,0,14316.8853745282,11413493.0803313
28,21,20-2-R-001100,2020,Q2,Residential,53033001100,1072,9097.85371266,23.7530278085347,Middle,8.48680383643657,0.0221576751945287,0,14316.8853745282,11413493.0803313
29,21,20-3-C-001100,2020,Q3,Commercial,53033001100,47,1424.02591974,3.71790186344608,Middle,30.2984238242553,0.0791042949669379,0,14316.8853745282,11413493.0803313
30,21,20-3-R-001100,2020,Q3,Residential,53033001100,1068,7789.48569036,20.3370900501331,Middle,7.29352592730337,0.0190422191480647,0,14316.8853745282,11413493.0803313
31,21,20-4-C-001100,2020,Q4,Commercial,53033001100,46,1566.44181906,4.08972679312352,Middle,34.0530830230435,0.0889071041983374,0,14316.8853745282,11413493.0803313
32,21,20-4-R-001100,2020,Q4,Residential,53033001100,1067,11433.56249472,29.8511864957542,Middle,10.7156162087348,0.0279767446070799,0,14316.8853745282,11413493.0803313
33,21,21-1-C-001100,2021,Q1,Commercial,53033001100,45,1709.2603509,4.4626029313328,Middle,37.9835633533333,0.0991689540296178,0,14316.8853745282,11413493.0803313
34,21,21-1-R-001100,2021,Q1,Residential,53033001100,1064,12678.8468727,33.1024230394384,Middle,11.9162094668233,0.0311112998490962,0,14316.8853745282,11413493.0803313
35,21,21-2-C-001100,2021,Q2,Commercial,53033001100,46,1319.19815466,3.44421348619872,Middle,28.6782207534783,0.0748742062217113,0,14316.8853745282,11413493.0803313
36,21,21-2-R-001100,2021,Q2,Residential,53033001100,1067,9044.50490376,23.6137426780659,Middle,8.47657441776945,0.0221309678332389,0,14316.8853745282,11413493.0803313
37,21,21-3-C-001100,2021,Q3,Commercial,53033001100,44,1136.58042186,2.96742805718112,Middle,25.8313732240909,0.0674415467541164,0,14316.8853745282,11413493.0803313
38,21,21-3-R-001100,2021,Q3,Residential,53033001100,1066,7732.58143158,20.1885222138154,Middle,7.25382873506566,0.0189385761855679,0,14316.8853745282,11413493.0803313
39,21,21-4-C-001100,2021,Q4,Commercial,53033001100,44,1683.53622744,4.39544139640448,Middle,38.2621869872727,0.0998963953728291,0,14316.8853745282,11413493.0803313
40,21,21-4-R-001100,2021,Q4,Residential,53033001100,1070,11555.2803528,30.1689721800576,Middle,10.7993274325234,0.0281953011028576,0,14316.8853745282,11413493.0803313
41,105,17-1-C-000402,2017,Q1,Commercial,53033000402,144,10574.19456288,65.1812878984717,Middle,73.4319066866667,0.452647832628276,0,21397.1748866823,19362168.1758264
42,105,17-1-R-000402,2017,Q1,Residential,53033000402,1947,21488.78421216,132.460833966294,Middle,11.0368691382434,0.0680332994177164,0,21397.1748866823,19362168.1758264
43,105,17-2-C-000402,2017,Q2,Commercial,53033000402,145,9388.88195754,57.8748021213354,Middle,64.750910052,0.399136566354037,0,21397.1748866823,19362168.1758264
44,105,17-2-R-000402,2017,Q2,Residential,53033000402,1946,14194.43756934,87.4971342982402,Middle,7.29416113532374,0.0449625561655911,0,21397.1748866823,19362168.1758264
45,105,17-3-C-000402,2017,Q3,Commercial,53033000402,145,9674.41665702,59.6348907352847,Middle,66.720114876,0.411275108519205,0,21397.1748866823,19362168.1758264
